"name_point","latitude","longitude","city","region","is_pause","distance_from_cremlin","tz_from_moscow","link_point"
Видное,"55.545331","37.725878",Видное,Московская,false,24.055527735297918,0,https://5verst.ru/vysota/
Усть-Лабинск,"45.199989","39.693432",Усть-Лабинск,Краснодарский,false,1182.8920029254868,0,https://5verst.ru/kopyttse/
Уралмаш,"56.88833","60.59921",Екатеринбург,Свердловская,false,1420.9652597179816,2,https://5verst.ru/letniyparkuralmash/
Соборная набережная,"59.11858","37.93003",Череповец,Вологодская,false,375.37956779711567,0,https://5verst.ru/sobornayanaberezhnaya/
Ставрополь Комсомольский пруд,"45.048699","41.955334",Ставрополь,Ставропольский,false,1229.327684123029,0,https://5verst.ru/komsomolskiyprud/
Ставрополь парк Победы,"45.023561","41.92284",Ставрополь,Ставропольский,false,1231.48383321051,0,https://5verst.ru/stavropol/
Челябинск Тополиная аллея,"55.163671","61.284483",Челябинск,Челябинская,false,1491.5083668474078,2,https://5verst.ru/topolinayaalleya/
Парк Победы,"55.727015","37.500621",Москва,Москва,false,7.747262476020059,0,https://5verst.ru/parkpobedy/
Кронштадт,"60.0047","29.76013",Санкт-Петербург,Санкт-Петербург,false,663.6675786524792,0,https://5verst.ru/kronshtadt/
ВДНХ,"55.825358","37.606189",Москва,Москва,false,8.166631702149644,0,https://5verst.ru/vdnkh/
Анапа,"44.879134","37.308372",Анапа,Краснодарский,false,1209.6553420405717,0,https://5verst.ru/plyazh40letpobedy/
Битца,"55.636598","37.549783",Москва,Москва,false,13.51979341419892,0,https://5verst.ru/bitsa/
Грязи,"52.49082","39.9659",Грязи,Липецкая,false,394.1449639529861,0,https://5verst.ru/gryazi/
Боева Дача,"51.742172","36.209818",Курск,Курская,false,455.8250069243626,0,https://5verst.ru/boevadacha/
Горно-Алтайск,"51.95206","85.95957",Горно-Алтайск,Алтай,false,3143.4419819238174,4,https://5verst.ru/gornoaltayskgorodskoypark/
Бутово,"55.539281","37.523319",Москва,Москва,false,24.40707202272565,0,https://5verst.ru/butovo/
Пушкин,"59.712553","30.420295",Санкт-Петербург,Санкт-Петербург,false,614.4022048703303,0,https://5verst.ru/pushkin/
Горячий Ключ,"44.635647","39.12145",Горячий Ключ,Краснодарский,false,1241.1068992522987,0,https://5verst.ru/goryachiyklyuchgorodskoypark/
Бузулук парк Пушкина,"52.79295","52.278755",Бузулук,Оренбургская,false,1008.1415761472008,2,https://5verst.ru/buzulukparkpushkina/
Воркута Городской парк,"67.495372","64.036892",Воркута,Коми,false,1890.1265037175008,0,https://5verst.ru/vorkutagorodskoypark/
Гатчина Приоратский,"59.554882","30.127174",Гатчина,Ленинградская,false,615.1551526469061,0,https://5verst.ru/gatchinaprioratsky/
Воронеж Центральный парк,"51.69855","39.218257",Воронеж,Воронежская,false,463.372435549133,0,https://5verst.ru/voronezhcentralpark/
Волжский,"48.78448","44.74583",Волжский,Волгоградская,false,914.3804706828273,0,https://5verst.ru/volzhsky/
Белгород Парк Победы,"50.591635","36.585956",Белгород,Белгородская,false,578.4104598170566,0,https://5verst.ru/belgorodparkpobedy/
Балашиха Заречная,"55.819099","37.963215",Балашиха,Московская,false,23.045392407413747,0,https://5verst.ru/balashikhazarechnaya/
Парк Бондина,"57.905227","59.957924",Нижний Тагил,Свердловская,false,1378.3174604108458,2,https://5verst.ru/parkbondina/
Парк Горького,"55.709586064506","37.559408569159",Москва,Москва,false,5.913802959489066,0,https://5verst.ru/gorkypark/
Парк Прибрежный,"55.76039","52.39469",Набережные Челны,Татарстан,false,926.1423866860508,0,https://5verst.ru/pribrezhny/
Парк Маяковского,"56.8131","60.6401",Екатеринбург,Свердловская,false,1424.1476069380276,2,https://5verst.ru/parkmayakovskogo/
Клин Сестрорецкий парк,"56.325062","36.736565",Клин,Московская,false,84.08434369698496,0,https://5verst.ru/sestroretsky/
Истра,"55.91895","36.856145",Истра,Московская,false,51.0786697905787,0,https://5verst.ru/istra/
Кимры,"56.853379","37.365918",Кимры,Тверская,false,123.58343897113535,0,https://5verst.ru/kimry/
Пенза,"53.183807","44.9806713",Пенза,Пензенская,false,556.1541719061453,0,https://5verst.ru/olimpiyskayaalleya/
Химки,"55.894","37.4585",Химки,Московская,false,18.606740712693718,0,https://5verst.ru/khimki/
Томск Стадион Политехник,"56.447952","84.976678",Томск,Томская,false,2889.5613921687277,4,https://5verst.ru/tomskstadionpolytechnic/
Пермь Балатово,"57.99413","56.166914",Пермь,Пермский,false,1154.4987069371446,2,https://5verst.ru/permbalatovo/
Томск Сосновый Бор,"56.539582","84.972909",Томск,Томская,false,2886.1047361208575,4,https://5verst.ru/tomsksosnovybor/
Лобня Городской парк,"56.012432","37.474087",Лобня,Московская,false,30.297401881761896,0,https://5verst.ru/lobnyagorodskoypark/
Киров Набережная Грина,"58.612239","49.686188",Киров,Кировская,false,794.9809454902002,0,https://5verst.ru/naberezhnayagrina/
Сквер Дзержинского,"54.987941","73.373821",Омск,Омская,false,2243.5550884796744,3,https://5verst.ru/skverdzerzhinskogo/
Губаха,"58.832093","57.561875",Губаха,Пермский,false,1245.3198941252278,2,https://5verst.ru/gubakha/
Дружба,"55.853634","37.485916",Москва,Москва,false,13.916885802590027,0,https://5verst.ru/druzhba/
Митино,"55.839559","37.367644",Москва,Москва,false,18.34311520307423,0,https://5verst.ru/mitino/
Сириус,"43.399645","39.950274",Сочи,Краснодарский,false,1383.9849120456695,0,https://5verst.ru/sirius/
Тамбов,"52.712605","41.483831",Тамбов,Тамбовская,false,421.87912388373104,0,https://5verst.ru/tambov/
Нижний пруд,"54.711946","20.513199",Калининград,Калининградская,false,1091.4486743828197,-1,https://5verst.ru/nizhnyprud/
Липецк Парк Победы,"52.593292","39.521956",Липецк,Липецкая,false,372.9638157921766,0,https://5verst.ru/lipetskparkpobedy/
Самара парк Гагарина,"53.22889","50.196656",Самара,Самарская,false,860.8530282948384,1,https://5verst.ru/samaraparkgagarina/
Тёплый Берег,"51.660915","35.669969",Курчатов,Курская,false,473.0865682187995,0,https://5verst.ru/teplybereg/
