"name_point","full_name_point","latitude","longitude","city","region","is_pause","distance_from_cremlin","tz_from_moscow","link_point","last_summary_checked_at"
Олимпийская Деревня,Парк Олимпийской деревни (Москва),"55.680516","37.480443",Москва,Москва,false,11.655613124091797,0,https://s95.ru/events/olimpiyskaya_derevnya,2026-05-11 21:52:30.231
S95 & Friends (Беларусь),Фановые забеги по субботам,,,,,true,,,https://s95.by/events/bs,2026-04-05 17:16:06.058
Кусково,Парк Кусково (Москва),"55.734785","37.799598",Москва,Москва,false,11.717594966443011,0,https://s95.ru/events/kuskovo,2026-05-11 22:15:18.390
Ленск,"Парк ""Ойуур"" (Ленск)","60.716363","114.909725",Ленск,Республика Саха (Якутия),false,4307.174348797075,6,https://s95.ru/events/lensk,2026-05-11 22:16:09.164
Альметьевск,Парк Каскад прудов (Альметьевск),"54.901722","52.286012",Альметьевск,Татарстан,false,934.1957983182061,0,https://s95.ru/events/almetyevsk,2026-05-11 22:07:18.178
Гатчина,Парк Зверинец (Гатчина),"59.581637","30.117637",Гатчина,Ленинградская,false,617.4948855959768,0,https://s95.ru/events/gatchina,2026-05-12 22:48:44.771
Орехово-Зуево,Парк 30-летия Победы (Орехово-Зуево),"55.802430","38.969887",Орехово-Зуево,Московская,false,85.16537764349007,0,https://s95.ru/events/orekhovo_zuyevo,2026-05-11 21:52:59.824
Пенза,Парк Спутника (Пенза (Город Спутник) ),"53.137433","45.047597",Засечное,Пензенская,false,562.7509682590296,0,https://s95.ru/events/penza,2026-05-11 21:53:31.870
Подольск,Парк Талалихина (Подольск),"55.435727","37.559306",Подольск,Московская,false,35.412630560654804,0,https://s95.ru/events/podolsk,2026-05-11 21:53:58.522
Пристань Печатники,Парк Печатники (Москва),"55.685051","37.715914",Москва,Москва,false,9.779392267212256,0,https://s95.ru/events/pechatniki,2026-05-11 21:59:28.224
Саранск,Экопарк (Саранск),"54.185307","45.204047",Саранск,Мордовия,false,516.022809931398,0,https://s95.ru/events/saransk,2026-05-11 21:59:56.383
Тверь,Речной вокзал (Тверь),"56.863825","35.917611",Тверь,Тверская,false,162.36686844132467,0,https://s95.ru/events/parkzhrun,2026-05-11 22:00:31.002
Novi Sad,"The sculpture ""Камени цвет"" (Novi Sad)","45.249561","19.855870",Нови-Сад,Воеводина,false,1709.0508715302767,-1,https://s95.rs/events/novisad,2026-05-11 22:04:32.000
Ангарские пруды,Парк Ангарские пруды (Москва),"55.877065","37.534275",Москва,Москва,false,14.807646459765644,0,https://s95.ru/events/angarskie_prudy,2026-05-11 22:07:46.808
Вешняки,Парк Радуга (Москва),"55.732367","37.817537",Москва,Москва,false,12.873904216325304,0,https://s95.ru/events/veshnyaki,2026-05-11 22:10:07.702
Гольяново,Гольяновский пруд (Москва),"55.82114","37.811712",Москва,Москва,false,14.501242389974843,0,https://s95.ru/events/golyanovo,2026-05-11 22:10:44.328
Гродно,Лесопарк Пышки (Гродно),"53.688204","23.787108",Гродно,Гродненская,false,918.5097014514063,0,https://s95.by/events/grodno,2026-05-11 22:11:48.179
ЗИЛ,ЗИЛ (Москва),"55.699992","37.629368",Москва,Москва,false,5.876695947233138,0,https://s95.ru/events/zil,2026-05-11 22:12:21.848
Иваново,Центральная набережная (Иваново),"57.003110","40.976478",Иваново,Ивановская,false,249.99091801374712,0,https://s95.ru/events/ivanovo,2026-05-11 22:13:50.358
Люблино,Люблино (Москва),"55.691218","37.751489",Москва,Москва,false,10.90952106321497,0,https://s95.ru/events/lublino,2026-05-12 22:47:49.420
Некрасовка,Парк Дружба в Некрасовке (Москва),"55.700542","37.952358",Москва,Москва,false,21.92718258733455,0,https://s95.ru/events/nekrasovka,2026-05-12 22:48:12.766
Троицк,«База Лесная» (Троицк),"55.489499","37.290637",Троицк,Москва,false,35.701357569337446,0,https://s95.ru/events/troitsk,2026-05-11 22:00:56.391
Хабаровск,Парк им. Н.Н. Муравьева-Амурского (Хабаровск),"48.469632","135.055846",Хабаровск,Хабаровский,false,6159.019220132914,7,https://s95.ru/events/khabarovsk,2026-05-11 22:01:55.687
Царицыно,Нижний Царицынский пруд (Москва),"55.624339","37.678205",Москва,Москва,false,14.770058943431115,0,https://s95.ru/events/tsaritsyno,2026-05-11 22:02:59.885
Belgrade,Park Ušće (Belgrade),"44.819492","20.443871",Белград,,false,1716.2783527363435,-1,https://s95.rs/events/belgrade,2026-05-11 22:03:56.394
Брест,СОИ (Брест),"52.077507","23.705415",Брест,Брестская,false,999.0760396606528,0,https://s95.by/events/brest,2026-05-11 22:09:19.415
Гомель,Набережная р. Сож (Гомель),"52.432029","31.021055",Гомель,Гомельская,false,567.6865023925534,0,https://s95.by/events/gomel,2026-05-11 22:11:12.014
Измайлово,Парк Измайлово (Москва),"55.787840","37.794431",Москва,Москва,false,11.904708983686756,0,https://s95.ru/events/izmailovo,2026-05-11 22:14:16.828
Кузьминки,Парк Кузьминки (Москва),"55.695032","37.769389",Москва,Москва,false,11.571461110658175,0,https://s95.ru/events/kuzminki,2026-05-11 22:14:53.311
S95 & Friends,Фановые забеги по субботам,,,,,true,NaN,,https://s95.ru/events/s,2026-04-05 17:11:06.620
Фестивальный,Фестивальный парк (Москва),"55.791773","37.619951",Москва,Москва,false,4.414419692576362,0,https://s95.ru/events/ekaterininskiy,2026-05-11 22:01:24.663
Щёлково,Молодёжная набережная (Щёлково),"55.924137","37.986048",Щёлково,Московская,false,30.08577531916826,0,https://s95.ru/events/shhyolkovo,2026-05-11 22:03:30.868
